n,align_mean,align_std
1,0.010864535047979474,0.0007768330988688605
313,3.436819969745655,0.215427684087673
625,6.6916151267422705,0.11901411313732913
937,10.513948567294504,0.4100585003383173
1250,14.197621128544744,0.9176817971492872
1562,18.150053458489943,0.9825351445543172
1875,21.19704123353771,1.302353861104975
2187,25.156450647742425,2.1659507799684117
2500,27.092175426386092,1.122568827050482
2812,32.22460549433111,1.724427246640739
3125,36.672122941274196,0.8896589913285625
3437,38.724201073165005,2.2148145475737384
3750,40.98163078540905,0.6962913559907912
4062,46.335429837941874,2.821842330477193
4375,46.89568628044678,2.3764907741922197
4687,53.75967239543913,3.4082139484581493
5000,54.78758912824202,2.5556869042164556
5312,57.76591869393185,3.599130321662995
5625,61.35374709226345,4.986126806439973
5937,68.89869595621242,3.224299187159891
6250,68.63376345161419,3.736333367897841
6562,73.91992025239469,4.096536706426846
6875,76.84034865663223,5.169485820405149
7187,81.99171628901803,3.9254780180373325
7500,84.82150813220002,5.239287033779574
7812,83.23332527943123,3.8724812421900543
8125,86.93374634911878,5.229538278716389
8437,93.10289885387209,8.11972621524768
8750,97.01048507249102,5.244896505285117
9062,106.45568704418528,5.231292882525789
9375,107.25239701774103,6.372347710774811
9687,108.18851929687158,7.171624549347693
10000,112.33139239506451,6.163075666690216
